Product category,Product num,Description,Wholesale Price per Unit,Pre-season order price,Units per Case,num of Cases to Order,Total_Units,Subtotal,Date of last entry,Time of last entry
Floods,FLOOD-RGBW-36W,"Flood Light, 36W, LED, RGBW w/ branch mount",192,134.4,4,5,20,2688,,
Floods,FLOOD-CORD-15,15 foot extension cord for 36W flood light,16,11.2,25,,0,0,,
Floods,FLOOD-TRNSFMR-150W,150W transformer for 36W Flood Lights,95,66.5,15,1,15,997.5,,
Other Decor,SPH-12-BR,"Improved: Aluminum Folding Sphere, 12"", BRONZE",45,31.5,5,,0,0,,
Other Decor,SPH-20-BR,"Improved: Aluminum Folding Sphere, 20"", BRONZE",50,35,5,,0,0,,
Other Decor,SPH-26-BR,"Improved: Aluminum Folding Sphere, 26"", BRONZE",80,56,5,,0,0,,
Other Decor,SPH-12-W,"Improved: Aluminum Folding Sphere, 12"", WHITE",45,31.5,5,1,5,157.5,,
Other Decor,SPH-20-W,"Improved: Aluminum Folding Sphere, 20"", WHITE",50,35,5,1,5,175,,
Other Decor,SPH-26-W,"Improved: Aluminum Folding Sphere, 26"", WHITE",80,56,5,1,5,280,,
Other Decor,GAR-220T-36-9-UNLIT,"Deluxe Garland, 9' long, 14"" wide, red berries and pine cones, UNLIT",78,54.6,1,,0,0,,
Other Decor,GAR-220T-36-9-WW,"Deluxe Lighted Garland, 100 LEDs, 9' long, 14"" wide, red berries and pine cones, WARM-WHITE",125,87.5,1,6,6,525,,
Other Decor,WRE-220T-30IN-UNLIT,"Deluxe Wreath, 30"" diameter, red berries and pine cones, UNLIT",85,59.5,1,,0,0,,
Other Decor,WRE-220T-30IN-WW,"Deluxe Lighted Wreath, 100 LEDs, 30"" diameter, red berries and pine cones, WARM-WHITE",125,87.5,1,3,3,262.5,,
Other Decor,WRE-480T-48IN-UNLIT,"Deluxe Wreath, 48"" diameter, red berries and pine cones, UNLIT",120,84,1,,0,0,,
Other Decor,WRE-480T-48IN-WW,"Deluxe Lighted Wreath, 200 LEDs, 48"" diameter, red berries and pine cones, WARM-WHITE",225,157.5,1,,0,0,,
Other Decor,WRE-720T-60IN-WW,"Deluxe Lighted Wreath, 300 LEDs, 60"" diameter, red berries and pine cones, WARM-WHITE",360,252,1,,0,0,,
Other Decor,GARRYL-200T-14-9FT-WW,"Royal Garland, 9' long, 14"" wide, gold and silver embellishments, pinecones, WARM-WHITE",125,87.5,1,,0,0,,
Other Decor,WRERYL-240T-30IN-WW,"Royal Garland, 100 LEDs, 30"" diameter, gold and silver embellishments, pinecones, WARM-WHITE",125,87.5,1,,0,0,,
Other Decor,WRERYL-420T-48IN-WW,"Royal Garland, 200 LEDs, 48"" diameter, gold and silver embellishments, pinecones, WARM-WHITE",225,157.5,1,,0,0,,
Other Decor,WRERYL-580T-60IN-WW,"Royal Garland, 300 LEDs, 48"" diameter, gold and silver embellishments, pinecones, WARM-WHITE",360,252,1,,0,0,,
